203,Buckland Airport,PABL,US,NA,31
204,Kondavattavana Tank Seaplane Base,,LK,AS,95
205,Williamsport Regional Airport,KIPT,US,NA,529
206,Djanet Inedbirene Airport,DAAJ,DZ,AF,3176
207,Bedourie Airport,YBIE,AU,OC,300
208,Upala Airport,MRUP,CR,NA,184
209,Fallon Naval Air Station,KNFL,US,NA,3934
210,Bahawalpur Airport,OPBW,PK,AS,392
211,La Cumbre Airport,SACC,AR,SA,3733
212,Chicago Executive Airport,KPWK,US,NA,647
213,Helmuth Baungarten Airport,SSLN,BR,SA,1095
214,Dharavandhoo Airport,VRMD,MV,AS,6
215,Mitchell Plateau Airport,YMIP,AU,OC,0
216,Tabiteuea South Airport,NGTS,KI,OC,0
217,Licenciado Gustavo Díaz Ordaz International Airport,MMPR,MX,NA,23
218,King Abdulaziz International Airport,OEJN,SA,AS,48
219,Fahud Airport,OOFD,OM,AS,552
220,Salina Municipal Airport,KSLN,US,NA,1288
221,Buriti Alegre Airport,SWBA,BR,SA,2848
222,Golfo de Morrosquillo Airport,SKTL,CO,SA,16
223,Cocos (Keeling) Islands Airport,YPCC,CC,AS,10
224,Brighton Downs Airport,,AU,OC,390
225,Bisbee Municipal Airport,P04,US,NA,4780
226,Shamattawa Airport,CZTM,CA,NA,289
227,Culberson County Airport,KVHN,US,NA,3957
228,Rocky Mountain House Airport,CYRM,CA,NA,3244
229,Minden-Tahoe Airport,KMEV,US,NA,4722
230,Konya Airport,LTAN,TR,AS,3392
231,Sunyani Airport,DGSN,GH,AF,1014
232,Opinaca Aerodrome,,CA,NA,692
233,Qayyarah West Airport,ORQW,IQ,AS,749
234,Baures Airport,SLBA,BO,SA,470
235,Alxa Left Banner Bayanhot Airport,ZBAL,CN,AS,4560
236,Teller Airport,PATE,US,NA,294
237,Los Perales Airport,SESV,EC,SA,10
238,Cuneo International Airport,LIMZ,IT,EU,1267
239,Fort Good Hope Airport,CYGH,CA,NA,268
240,York Airport,KTHV,US,NA,495
241,Ellsworth Air Force Base,KRCA,US,NA,3276
242,Louis Trichardt Airport,FALO,ZA,AF,3025
243,Clermont Airport,YCMT,AU,OC,908
